verdict	term	reading	pos	docs	total	example
k	当社	トウシャ	名詞	181	37698	電解鉄は当社で製造販売を行っております。
k	以下	イカ	名詞	181	5826	(注) １．調整額は、以下のとおりです。
k	費用	ヒヨウ	名詞	181	4298	その他の費用の主なものは以下の通りです。
k	価値	カチ	名詞	181	3316	２．公正価値に基づく有償付与であります。
k	対応	タイオウ	名詞	181	3289	5) 各種行政対応の指導及び補助ノウハウ。
k	以内	イナイ	名詞	181	2250	取締役の員数は定款上20名以内とします。
k	区分	クブン	名詞	181	1878	なお、セグメントと同一の区分であります。
k	向上	コウジョウ	名詞	180	4073	また、TSR（※）の向上を目指していきます。
k	基準	キジュン	名詞	180	2533	同基準の内容は、以下のとおりであります。
k	当期	トウキ	名詞	180	1801	当期は取締役会を16回開催しております。
k	定期的	テイキテキ	名詞	180	1708	使用人に対し、必要な研修を定期的に実施する。
k	公認会計士	コウニンカイケイシ	名詞	180	1177	なお、業務執行した公認会計士は、以下のとおりです。
k	給与	キュウヨ	名詞	180	1149	３　平均年間給与は賞与を含んでおります。
w	条項	ジョウコウ	名詞	180	518	また、借入金には財務制限条項が設けられています。
k	時点	ジテン	名詞	179	1952	当該決議時点の監査等委員の員数は３名です。
k	機関	キカン	名詞	179	1131	機関ごとの構成員は次のとおりであります。
k	時価	ジカ	名詞	177	2965	②デリバティブ　時価法を採用しています。
k	部門	ブモン	名詞	177	2214	内部監査部門とも緊密に連携しております。
k	要件	ヨウケン	名詞	177	824	当社は賭博装置法の登録要件を遵守しております。
k	建物	タテモノ	名詞	176	1116	なお、当社所有の建物を賃借しております。
k	認める	ミトメ	動詞	176	1014	但し、当社が認めた場合はこの限りではない。
w	原価	ゲンカ	名詞	175	1952	２． 金額は、製造原価によっております。
k	機能	キノウ	名詞	175	1654	社外取締役は適切な助言機能を発揮します。
w	設置	セッチ	名詞	175	1451	３．当社は、監査等委員会設置会社である。
k	分類	ブンルイ	名詞	175	1096	この分類は当初認識時に決定しております。
k	懸念	ケネン	名詞	175	534	新規採用や資金調達への影響が懸念される。
k	レベル	レベル	名詞	173	976	どちらもレベル２の時価に分類しております。
w	総合的	ソウゴウテキ	名詞	172	728	歩行、立位、会話、指先運動などを総合的に数値化（0～40点）。
k	同意	ドウイ	名詞	172	640	その金額は監査役会の同意を得ております。
w	受注	ジュチュウ	名詞	171	1145	受注及び販売の実績は、次のとおりであります。
k	貢献	コウケン	名詞	169	1016	これにより、地球環境の保護に貢献します。
w	晒す	サラサ	動詞	169	611	差し入れ先の信用リスクに晒されております。
k	生産	セイサン	名詞	168	1650	2005年１月駒ヶ根工場完成、生産開始。
k	社外	シャガイ	名詞	168	822	②　社外役員の状況該当事項はありません。
k	効果	コウカ	名詞	167	1066	２．定量的な保有効果については記載が困難であります。
k	見直し	ミナオシ	名詞	166	764	また、重要な全社規程の見直し改訂を行いました。
k	比べる	クラベ	動詞	165	1496	売上高は、前連結会計年度に比べて減収となっています。
k	導入	ドウニュウ	名詞	164	1067	８．当社は執行役員制度を導入しております。
k	役割	ヤクワリ	名詞	163	730	各部会の役割及び活動内容は以下のとおりです。
w	入手	ニュウシュ	名詞	159	462	債券は取引金融機関から入手した時価を用いて評価しております。
k	経常利益	ケイジョウリエキ	名詞	158	436	〇 経常損益経常利益は、24億円となりました。
k	実効	ジッコウ	名詞	150	451	受取利息は、実効金利法により発生時に認識しています。
w	評価基準	ヒョウカキジュン	名詞	149	410	２．デリバティブ等の評価基準及び評価方法該当事項はありません。
w	分離	ブンリ	名詞	149	391	承継会社等の新株予約権は承継された本社債と分離して譲渡できない。
w	非上場	ヒジョウジョウ	名詞	145	479	３．株価収益率は非上場につき記載しておりません。
w	指針	シシン	名詞	144	560	経営指標としては、売上高経常利益率を指針として定めております。
k	生かす	イカシ	動詞	144	493	・当社の特色を活かした温室効果ガス削減の取り組み検討。
k	妥当性	ダトウセイ	名詞	142	318	なお、鑑定評価額は、その妥当性を社内で分析しています。
k	新聞	シンブン	名詞	142	259	「西日本新聞ｍｅ」のアプリ版をリリース。
k	提案	テイアン	名詞	138	569	人と人の繋がりを大切にするコト提案型企業を目指す。
w	知見	チケン	名詞	137	543	このうち、西川郁生氏は、財務・会計に関する相当程度の知見を有しています。
w	連結損益計算書	レンケツソンエキケイサンショ	名詞	136	624	３　セグメント利益は連結損益計算書の営業利益と調整している。
k	解任	カイニン	名詞	134	548	取締役の解任については、取締役会で決定いたします。
k	見る	ミ	動詞	132	291	加えて、時期を見た戦略的な値上げを実施しております。
w	機械	キカイ	名詞	131	720	その内訳は、機械装置３百万円であります。
w	識別	シキベツ	名詞	131	488	ステップ２：契約における履行義務を識別する。
k	幅広い	ハバヒロク	形容詞	129	362	今後も幅広い領域での建築・土木製品の研究開発に努めてまいります。
k	土地	トチ	名詞	128	687	２　土地及び建物のうち賃貸中の主なもの。
w	尊重	ソンチョウ	名詞	126	386	１．株主の権利を尊重し、平等性を確保する。
k	使用権	シヨウケン	名詞	124	281	２　土地の帳簿価額は土地使用権を示しております。
k	付与	フヨ	名詞	113	810	２．公正価値に基づく有償付与であります。
k	振り替え	フリカエ	名詞	113	203	※３　他勘定振替高の内訳は次のとおりであります。
w	源泉	ゲンセン	名詞	112	211	当行グループの提供価値の源泉は「人材」です。
k	仕入れ	シイレ	名詞	109	402	主に食材仕入れ等により構成されております。
k	統括	トウカツ	名詞	105	275	当社は子会社を管理・統括する持株会社であります。
k	通貨	ツウカ	名詞	101	391	なお、米国ドル以外の通貨は変動しないものと仮定しております。
k	デジタル	デジタル	名詞	100	526	2010年２月東京都新宿区にソフィアデジタル株式会社を設立。
k	企画	キカク	名詞	99	311	クラブは、運営に関する企画計画をまとめます。
k	通す	トオシ	動詞	98	225	DXを中心に年間を通して旺盛な需要が継続しました。
k	保護	ホゴ	名詞	96	239	これにより、地球環境の保護に貢献します。
k	増大	ゾウダイ	名詞	94	222	これは事業規模の増大に伴う運転資金の増加によるものです。
k	コミュニケーション	コミュニケーション	名詞	94	207	また、監査役と会計監査人は定期的なコミュニケーションを行っております。
k	人事	ジンジ	名詞	93	317	その人事については取締役と監査役が意見交換する。
k	総合	ソウゴウ	名詞	92	260	1966年７月世田谷総合事務棟・研究棟竣工。
k	一時的	イチジテキ	名詞	92	133	一時的な余資は安全性の高い金融資産で運用しております。
k	インセンティブ	インセンティブ	名詞	91	258	そのため、従来よりインセンティブ制度や教育研修体制の充実を図っております。
k	照らす	テラシ	動詞	87	130	当社グループに属する会社間の取引は、法令・会計原則その他の社会規範に照らし適切に行う。
k	新しい	アタラシイ	形容詞	85	204	新しいアイデアや技術の実現可能性を検証する段階という意味。
w	善意	ゼンイ	名詞	81	93	労使関係は、善意に基づく相互信頼を基調としており非常に安定しております。
k	ヘッジ	ヘッジ	名詞	80	1776	９．ヘッジ会計の方法該当事項はありません。
w	売買	バイバイ	名詞	75	182	１．売買目的有価証券　　該当ありません。
k	期間中	キカンチュウ	名詞	70	143	取締役在任期間中、毎会計年度末に支払う。
k	縮小	シュクショウ	名詞	70	140	一方、円安に推移した場合は、売上の増大及び損失の縮小が見込まれます。
w	脱炭素	ダツタンソ	名詞	66	251	セクター別脱炭素アプローチは用いていません。
k	標準	ヒョウジュン	名詞	66	129	権利内容に何ら制限のない標準となる株式であります。
k	最優先	サイユウセン	名詞	65	105	・堅実経営と安全最優先を基本とし、社員を守る。
k	経済的	ケイザイテキ	名詞	62	169	なお、取得時における当社の経済的持分は66.4％です。
k	中長期	チュウチョウキ	名詞	62	155	中長期の売上収益営業利益率の目標は8.0％としております。
k	侵害	シンガイ	名詞	61	161	当該侵害に対して訴訟が提起された場合は、当社の事業戦略や業績に重大な影響を与える可能性があります。
k	信託	シンタク	名詞	60	979	本信託の概要は、以下のとおりであります。
w	合意	ゴウイ	名詞	59	137	上記のほか、基本合意の終了事由が規定されている。
k	専門知識	センモンチシキ	名詞	59	104	このように高い専門知識を身に付けたスタッフが、障害者及び企業の支援にあたります。
k	方式	ホウシキ	名詞	57	107	サービス向上施策は、レンタル販売方式の拡充を進めています。
k	魅力	ミリョク	名詞	50	92	お腹や背中、足の引き締めなど目的に合わせた多彩なラインナップが魅力。
w	業態	ギョウタイ	名詞	46	142	主な顧客は大手・中堅企業であり業種業態は多様です。
k	ESG	イーエスジー	名詞	46	141	併せてESG経営を実践し、当社の企業価値を高めてまいります。
w	類似	ルイジ	名詞	43	105	さらに、各国においても類似の法的規制があります。
k	ラインアップ	ラインナップ	名詞	41	79	(17機種ラインアップ)1991年４月避難器具販売開始。
k	材料費	ザイリョウヒ	名詞	38	51	（注）※１ 材料費には、下記の外注金額が含まれております。
k	半導体	ハンドウタイ	名詞	37	260	また、半導体メーカーの生産能力増強投資も旺盛に行われています。
k	選ぶ	エラン	動詞	35	50	1500個×88％のＬＴを搭載した選べる２スペックでリリース。
w	有償	ユウショウ	名詞	34	72	２．公正価値に基づく有償付与であります。
k	適応	テキオウ	名詞	34	51	更に、気候変動へ適応し、安定的な事業活動を展開します。
w	老朽化	ロウキュウカ	名詞	31	51	２　老朽化による更新のため、完成後における能力の増加はありません。
k	高齢化	コウレイカ	名詞	30	53	今後さらに高齢化が進むと来場者が減少するリスクとなります。
k	経営企画	ケイエイキカク	名詞	29	66	経営企画室は、当該報告内容を当社代表取締役へ報告する。
k	結ぶ	ムスン	動詞	27	40	当社は株式会社丸由と建物賃貸契約を結んでいる。
w	共生	キョウセイ	名詞	26	79	②　グローバリゼーションの中で、地域社会との調和と共生を目指します。
k	指す	サシ	動詞	26	52	◎は各機関の議長、委員長を指しております。
w	届け出	トドケデ	名詞	26	38	上記(16)に係る訂正届出書であります。
w	集計	シュウケイ	名詞	26	38	出向者は、出向先の社員として集計している。
w	改廃	カイハイ	名詞	26	33	(６) 監査役に係る規程の改廃は監査役会が行う。
k	メディア	メディア	名詞	25	190	メディアは、メディア広告と反響課金を提供するサービスです。
k	管理者	カンリシャ	名詞	24	49	福岡県田川郡福智町「ほうじょう温泉 ふじ湯の里」の指定管理者となる。
w	立地	リッチ	名詞	23	40	1978年10月岡山県倉敷市白楽町に郊外立地の紳士服専門店の１号店として、「倉敷店」を開設。
w	土台	ドダイ	名詞	22	34	ｂ．コンサルティング当社グループでは、ライフプランニングを土台に顧客への商品提案を行っております。
w	兼ね備える	カネソナエ	動詞	22	26	これらによって高精度、高信頼性を兼ね備えた製品を提供しています。
k	革新的	カクシンテキ	名詞	22	26	当事業では、これらの各部門が互いに連携し、各々の領域で革新的な技術とサービスを展開しています。
k	マスター	マスター	名詞	21	26	２．上記日本マスタートラスト信託銀行株式会社(信託口)の所有株式のうち、信託業務に係る株式数は121千株であります。
w	自覚	ジカク	名詞	20	28	・社会的責任を自覚し、よりよい社会、環境づくりに貢献します。
k	小型	コガタ	名詞	19	33	1949年10月日本初の小型消防ポンプを生産開始。
w	有料	ユウリョウ	名詞	18	57	2012年２月賃貸用建物介護付き有料老人ホーム竣工。
w	推奨	スイショウ	名詞	16	23	脱衣所等でのポリ袋の設置を廃止し、エコバッグの持参を推奨しております。
k	訪日	ホウニチ	名詞	15	22	株式会社JTB（以下、JTB）との連携による国内および訪日外国人への販売展開を継続して進めております。
k	人材不足	ジンザイブソク	名詞	15	18	昨今の人材不足は業績に負の影響を与えております。
k	休日	キュウジツ	名詞	14	21	ただし、権利行使の最終日が当社の休日にあたる場合にはその前営業日とする。
w	消失	ショウシツ	名詞	14	18	３．信用リスク管理　信用リスクとは、与信先の財務状況の悪化等により、資産の価値が減少ないし消失し、損失を被るリスクをいいます。
w	船舶	センパク	名詞	13	68	船舶用高圧配電盤はこれらのニーズに対応した装置であります。
k	国内市場	コクナイシジョウ	名詞	13	29	加えて、国内市場の都市ガス用警報器の販売も好調に推移しました。
k	温度	オンド	名詞	13	22	これにより、切り屑排出性の向上および摩擦による温度上昇を抑制し、工具寿命の大幅な改善を達成いたしました。
k	大変	タイヘン	副詞	13	17	直近３月には新たにオーストラリア、マレーシアにて実施し、同じく大変好評をいただいております。
w	申告	シンコク	名詞	13	14	当該評価は、当社グループの構成企業の直近の税務申告や国別報告に基づいております。
k	新型	シンガタ	名詞	12	15	この状況に対応する製品として当社は、新型EVパワー・ステーション（V2H）や大容量の急速充電器の開発、提供を進めています。
k	本質的	ホンシツテキ	名詞	12	15	この計算は見積りによるものであり、本質的に不確実性を内包しております。
k	変数	ヘンスウ	名詞	11	28	本分析においては、その他すべての変数は一定のものと仮定しております。
k	消費量	ショウヒリョウ	名詞	11	16	都市ガス販売では、単位消費量は減少したものの、スイッチングが順調に推移し、販売数量が増加した。
k	特別措置法	トクベツソチホウ	名詞	10	22	
k	回線	カイセン	名詞	10	20	自社で無線通信回線設備を持たず、他の移動体通信事業者から借りてあるいは再販を受けて移動体通信サービスを提供する事業者。
w	非正規雇用労働者	ヒセイキコヨウロウドウシャ	名詞	10	15	２ 非正規雇用労働者は派遣社員を除きます。
k	形状	ケイジョウ	名詞	10	15	用途に応じたサイズや形状に対応するため、材料改良と生産技術開発を進めております。
k	ウエート	ウェイト	名詞	10	14	また、市場環境に想定外の事態が発生した場合は、社内規程に従って、一時的にリスク資産のウェイト調整を行うことを可能としている。
w	造成	ゾウセイ	名詞	10	13	(3）1970年９月８日ゴルフ場の造成工事に着手した。
k	機動力	キドウリョク	名詞	10	10	これにより、組織の機動力および持続的な成長を高め、中長期的な企業価値向上の実現を目指しております。
k	リノベーション	リノベーション	名詞	9	83	これは主にリノベーション事業が好調に推移したものであります。
w	時間軸	ジカンジク	名詞	9	18	なお、各時間軸は下記の通り設定しております。
k	カスタマー	カスタマー	名詞	9	16	顧客満足度向上と売上拡大を両立できるAIカスタマーポータルサービス。
k	株式公開	カブシキコウカイ	名詞	9	14	1960年９月東京店頭売買承認銘柄として株式公開。
k	新規採用	シンキサイヨウ	名詞	9	13	新規採用や資金調達への影響が懸念される。
w	恣意的	シイテキ	名詞	9	13	これにより、当社取締役会による恣意的な本プランの運用又は対抗措置の発動を防止するための仕組みが確保されています。
w	率先	ソッセン	名詞	9	10	高い倫理観と社会的ルールの遵守のための行動指針として、倫理行動規範を定め、取締役はこれを率先して実践する。
